city,date,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),weather_condition
Ulhasnagar,2024-12-21,24.320833333333336,70.20833333333333,1010.1208333333334,5.520833333333333,8.629166666666666,Cloudy
Ulhasnagar,2024-12-22,24.2625,75.08333333333333,1010.3916666666668,5.9750000000000005,9.533333333333333,Cloudy
Ulhasnagar,2024-12-23,23.84166666666667,71.0,1010.7541666666666,6.366666666666667,10.799999999999999,Cloudy
Ulhasnagar,2024-12-24,24.21666666666667,61.583333333333336,1011.0041666666666,6.916666666666667,12.666666666666666,Cloudy
Ulhasnagar,2024-12-25,25.0,61.166666666666664,1011.8958333333334,6.020833333333333,10.383333333333335,Cloudy
Ulhasnagar,2024-12-26,25.71666666666667,66.95833333333333,1013.2583333333333,4.45,7.891666666666667,Cloudy
Ulhasnagar,2024-12-27,25.45,69.625,1013.5458333333332,5.825,9.779166666666667,Cloudy
Ulhasnagar,2024-12-28,25.754166666666666,68.58333333333333,1013.3958333333334,6.358333333333333,11.170833333333334,Cloudy
Ulhasnagar,2024-12-29,26.7,65.08333333333333,1013.3000000000001,6.620833333333334,12.0375,Cloudy
Ulhasnagar,2024-12-30,27.40416666666667,63.041666666666664,1013.0833333333334,6.7375,12.200000000000001,Cloudy
Ulhasnagar,2024-12-31,27.425,58.583333333333336,1013.2583333333333,7.158333333333334,12.733333333333334,Cloudy
Virar,2024-01-01,24.958333333333332,67.375,1011.1333333333333,11.387500000000001,19.1375,Cloudy
Virar,2024-01-02,24.270833333333332,67.29166666666667,1010.6083333333332,12.674999999999999,20.912499999999998,Cloudy
Virar,2024-01-03,23.7,70.20833333333333,1009.9708333333333,14.424999999999999,23.008333333333336,Cloudy
Virar,2024-01-04,23.0625,77.875,1010.5,13.708333333333334,22.079166666666666,Cloudy
Virar,2024-01-05,23.325,71.33333333333333,1010.8416666666667,13.145833333333334,21.0125,Cloudy
Virar,2024-01-06,24.7,67.04166666666667,1010.4291666666667,13.229166666666666,21.71666666666667,Cloudy
Virar,2024-01-07,25.370833333333334,65.91666666666667,1010.4708333333333,10.625,17.325,Cloudy
Virar,2024-01-08,26.745833333333334,59.25,1010.5333333333333,12.183333333333332,20.395833333333332,Cloudy
Virar,2024-01-09,25.516666666666666,75.125,1011.3583333333332,7.5,11.291666666666666,Cloudy
Virar,2024-01-10,25.849999999999998,68.33333333333333,1011.5333333333333,8.237499999999999,13.595833333333333,Cloudy
Virar,2024-01-11,26.858333333333334,66.25,1011.5083333333333,12.491666666666667,20.5125,Cloudy
Virar,2024-01-12,27.020833333333332,64.375,1011.275,10.591666666666667,18.895833333333332,Cloudy
Virar,2024-01-13,26.441666666666666,60.875,1012.1374999999999,10.933333333333332,18.724999999999998,Cloudy
Virar,2024-01-14,25.77916666666667,46.416666666666664,1012.8625000000001,13.708333333333334,23.770833333333332,Sunny
Virar,2024-01-15,23.683333333333334,50.75,1012.2125,12.108333333333334,20.25,Sunny
Virar,2024-01-16,22.245833333333334,60.291666666666664,1010.1166666666667,10.416666666666666,17.2375,Cloudy
